8:41:50 AM  [main] 	Initializing Control Panel
8:44:49 AM  [Apache] 	Status change detected: running
8:44:49 AM  [mysql] 	Status change detected: running
8:44:55 AM  [mysql] 	Status change detected: stopped
8:44:55 AM  [mysql] 	Error: MySQL shutdown unexpectedly.
8:44:55 AM  [mysql] 	This may be due to a blocked port, missing dependencies, 
8:44:55 AM  [mysql] 	improper privileges, a crash, or a shutdown by another method.
8:44:55 AM  [mysql] 	Press the Logs button to view error logs and check
8:44:55 AM  [mysql] 	the Windows Event Viewer for more clues
8:44:55 AM  [mysql] 	If you need more help, copy and post this
8:44:55 AM  [mysql] 	entire log window on the forums
6:46:25 PM  [mysql] 	Status change detected: running
6:46:31 PM  [mysql] 	Status change detected: stopped
6:46:31 PM  [mysql] 	Error: MySQL shutdown unexpectedly.
6:46:31 PM  [mysql] 	This may be due to a blocked port, missing dependencies, 
6:46:31 PM  [mysql] 	improper privileges, a crash, or a shutdown by another method.
6:46:31 PM  [mysql] 	Press the Logs button to view error logs and check
6:46:31 PM  [mysql] 	the Windows Event Viewer for more clues
6:46:31 PM  [mysql] 	If you need more help, copy and post this
6:46:31 PM  [mysql] 	entire log window on the forums
6:47:25 PM  [mysql] 	Status change detected: running
6:47:32 PM  [mysql] 	Status change detected: stopped
6:47:32 PM  [mysql] 	Error: MySQL shutdown unexpectedly.
6:47:32 PM  [mysql] 	This may be due to a blocked port, missing dependencies, 
6:47:32 PM  [mysql] 	improper privileges, a crash, or a shutdown by another method.
6:47:32 PM  [mysql] 	Press the Logs button to view error logs and check
6:47:32 PM  [mysql] 	the Windows Event Viewer for more clues
6:47:32 PM  [mysql] 	If you need more help, copy and post this
6:47:32 PM  [mysql] 	entire log window on the forums
6:48:17 PM  [main] 	Deinitializing Modules
6:48:17 PM  [main] 	Deinitializing Control Panel

